AGPR ID,Land Description,Address,Suburb,State or Territory,Postcode,Latitude,Longitude
AGPR788,Lot 201  DP1022020,Middle Head Road MOSMAN,MOSMAN,NSW,2088,-33.82847636,151.2579257
AGPR786,Lot 10  DP87273,Reserve Road MARRANGAROO,MARRANGAROO,NSW,2790,-33.43793944,150.1498425
AGPR780,Lot 21  DP1084160,Lloyds Road SOUTH BATHURST,SOUTH BATHURST,NSW,2795,-33.44294774,149.57251
AGPR777,Lot 396  DP39627,2 Smith Street PARRAMATTA,PARRAMATTA,NSW,2150,-33.81720416,151.0068417
AGPR776,Lot 1 Plan 107946,Knoble Road THURGOONA,THURGOONA,NSW,2640,-36.06649684,147.0135191
AGPR775,Lot 1  DP1121965,Kings Highway CARWOOLA,CARWOOLA,NSW,2620,-35.35180833,149.3525028
AGPR774,Lot 1  DP1083443,Kings Highway CARWOOLA,CARWOOLA,NSW,2620,-35.34377043,149.3752806
AGPR748,Lot 11  DP758032,176 Mann Street ARMIDALE,ARMIDALE,NSW,2350,-30.51931572,151.6583635
AGPR744,Lot 3  DP1197707,Moorebank Avenue HOLSWORTHY,HOLSWORTHY,NSW,2170,-33.945913,150.927258
AGPR741,Lot 7  DP825745,Heathcote Road PLEASURE POINT,PLEASURE POINT,NSW,2172,-33.9729056,150.9890463
AGPR738,Lot 12  DP849275,Francis Street MUSWELLBROOK,MUSWELLBROOK,NSW,2333,-32.27231819,150.8886296
AGPR737,Lot 101  DP1052469,24 Duke Street COFFS HARBOUR,COFFS HARBOUR,NSW,2450,-30.29729369,153.1202161
AGPR736,Lot 1 Plan 1063890,Edrom Road WONBOYN NORTH,WONBOYN NORTH,NSW,2551,-37.19864663,149.8681226
AGPR734,Lot 10 Plan 83058,Docker Street WAGGA WAGGA,WAGGA WAGGA,NSW,2650,-35.11025983,147.3597876
AGPR723,Lot 4  DP605078,Cliff Street WATSONS BAY,WATSONS BAY,NSW,2030,-33.83776205,151.2811415
AGPR722,Lot 4  DP1130937,Casula Road CASULA,CASULA,NSW,2170,-33.95341735,150.912091
AGPR721,Lot 2  DP1143604,Hoskinstown Road BUNGENDORE,BUNGENDORE,NSW,2621,-35.33359475,149.3836516
AGPR720,Lot 1  DP430997,Camp Road GRETA,GRETA,NSW,2334,-32.70712739,151.3811259
AGPR719,Lot 3  DP845635,Buckingbong Road BOREE CREEK,BOREE CREEK,NSW,2652,-35.05364634,146.4306136
AGPR705,Lot 1 Plan 1101158,Lighthouse Road BEECROFT PENINSULA,BEECROFT PENINSULA,NSW,2540,-35.01456148,150.7843471
AGPR704,Lot 100  DP1049508,Bapaume Road MOOREBANK,MOOREBANK,NSW,2170,-33.94135553,150.9232806
AGPR703,Lot 2  DP837879,Balls Head Road WAVERTON,WAVERTON,NSW,2060,-33.839784,151.1954419
AGPR702,Lot 1  DP837879,Balls Head Road WAVERTON,WAVERTON,NSW,2060,-33.83916039,151.1951386
AGPR700,Lot 1  DP519553,Harvey Road RUTHERFORD,RUTHERFORD,NSW,2320,-32.7144106,151.5218905
AGPR699,Lot 1  DP589243,Wingewarra Street DUBBO,DUBBO,NSW,2830,-32.25199369,148.6207115
AGPR698,Lot 3002  DP1125930,ANZAC Road MOOREBANK,MOOREBANK,NSW,2170,-33.94906043,150.9336965
AGPR6969,Block 1 Section 44 Division Yarralumla,4 Rhodes Place YARRALUMLA,YARRALUMLA,ACT,2600,-35.30416,149.1199
AGPR6961,Block 15 Section 28 Division Parkes,31 Parkes Place West PARKES,PARKES,ACT,2600,-35.29931,149.13525
AGPR6950,Block 1 Section 129 Division Yarralumla,YARRALUMLA,YARRALUMLA,ACT,2600,-35.30348,149.08332
AGPR6949,Block 27 Section 44 Division Yarralumla,State Circle YARRALUMLA,YARRALUMLA,ACT,2600,-35.30395,149.12182
AGPR6948,Block 18 Section 86 Division Yarralumla,Turrana Street YARRALUMLA,YARRALUMLA,ACT,2600,-35.30834,149.11595
AGPR6947,Block 12 Section 17 Division Yarralumla,Alexandrina Drive YARRALUMLA,YARRALUMLA,ACT,2600,-35.29936,149.1135
AGPR6945,Block 1220 Section  District Weston Creek,WESTON CREEK,WESTON CREEK,ACT,2611,-35.30768,149.07067
AGPR6944,Block 1 Section 90 Division Russell,Morshead Drive RUSSELL,RUSSELL,ACT,2600,-35.30061,149.15399
AGPR6943,Block 3 Section 4 Division Parkes,Parkes Way PARKES,PARKES,ACT,2600,-35.29105,149.14141
AGPR6942,Block 10 Section 3 Division Parkes,Parkes Way PARKES,PARKES,ACT,2600,-35.28946,149.13887
AGPR6941,Block 4 Section 23 Division Parkes,Commonwealth Avenue PARKES,PARKES,ACT,2600,-35.30111,149.12603
AGPR6940,Block 4 Section 51 Division Parkes,Kings Avenue PARKES,PARKES,ACT,2600,-35.30475,149.13217
AGPR694,Lot 2  DP1002996,250 Btu Road NOWRA HILL,NOWRA HILL,NSW,2540,-34.94402044,150.5425159
AGPR6939,Block 20 Section 28 Division Parkes,King Edward Terrace PARKES,PARKES,ACT,2600,-35.30056,149.13398
AGPR6938,Block 5 Section 23 Division Parkes,State Circle PARKES,PARKES,ACT,2600,-35.30316,149.12716
AGPR6937,Block 19 Section 29 Division Parkes,Bowen Place PARKES,PARKES,ACT,2600,-35.30128,149.13873
AGPR6936,Block 5 Section 2 Division Parkes,Commonwealth Avenue PARKES,PARKES,ACT,2600,-35.28897,149.13142
AGPR6935,Block 3 Section 51 Division Parkes,State Circle PARKES,PARKES,ACT,2600,-35.30429,149.12947
AGPR6934,Block 3 Section 3 Division Parkes,Coranderrk Street PARKES,PARKES,ACT,2600,-35.28609,149.13509
AGPR6933,Block 12 Section 48 Division Parkes,Parkes Way PARKES,PARKES,ACT,2600,-35.28936,149.13564
AGPR6932,Block 18 Section 28 Division Parkes,44 Elizabeth Terrace PARKES,PARKES,ACT,2600,-35.29824,149.13441
AGPR6931,Block 75 Section  District Molonglo Valley,MOLONGOLO VALLEY,MOLONGOLO VALLEY,ACT,2611,-35.30034,149.05353
AGPR6930,Block 3 Section 51 Division Kingston,Eastlake Parade KINGSTON,KINGSTON,ACT,2600,-35.31012,149.14431
